,reportname,modelpath,dataitem,filtername
43,aSD_REPORT,,[Business View].[F_TABLE].[COVERAGE_ID],
44,aSD_REPORT,,"
[Business View].[F_TABLE].[IS_30_SLASH_46_LT10]",
45,aSD_REPORT,,[Business View].[F_TABLE].[DIV_46_GT10],
46,aSD_REPORT,,[Business View].[F_TABLE].[DIV_30_GT10],
47,aSD_REPORT,,[Business View].[F_TABLE].[IS_DIV_30_SLASH_46_TOTAL],
48,aSD_REPORT,,[Business View].[F_TABLE].[DIV_30_LT10],
49,aSD_REPORT,,[Business View].[G_TABLE].[Cov Id],
50,aSD_REPORT,,[Business View].[G_TABLE].[TOTAL REV Quota - Moonlight],
51,aSD_REPORT,,[Business View].[G_TABLE].[TOTAL GP Quota - Moonlight],
52,aSD_REPORT,,"COALESCE([C].[COV_ID],[D].[COV_ID])",
53,aSD_REPORT,,[C].[C_Validated Rev Target],
54,aSD_REPORT,,[C].[C_Validated GP Target],
55,aSD_REPORT,,[D].[D 30 Revenue 3Q],
56,aSD_REPORT,,[D].[D 30 Revenue 4Q],
57,aSD_REPORT,,[D].[D 30 Revenue],
58,aSD_REPORT,,[D].[D 30 GP BCP 3Q],
59,aSD_REPORT,,[D].[D 30 GP BCP 4Q],
60,aSD_REPORT,,[D].[D 30 GP Contract BCP],
61,aSD_REPORT,,[D].[D 30 GP BMC 3Q],
62,aSD_REPORT,,[D].[D 30 GP BMC 4Q],
63,aSD_REPORT,,[D].[D 30 GP Contract BMC],
64,aSD_REPORT,,"COALESCE([C&D].[COV_ID],[F].[COV_ID])
",
65,aSD_REPORT,,[C&D].[C_Validated Rev Target],
66,aSD_REPORT,,[C&D].[C_Validated GP Target],
67,aSD_REPORT,,[C&D].[D 30 Revenue 3Q],
68,aSD_REPORT,,[C&D].[D 30 Revenue 4Q],
69,aSD_REPORT,,[C&D].[D 30 Revenue],
70,aSD_REPORT,,[C&D].[D 30 GP BCP 3Q],
71,aSD_REPORT,,[C&D].[D 30 GP BCP 4Q],
72,aSD_REPORT,,[C&D].[D 30 GP Contract BCP],
73,aSD_REPORT,,[C&D].[D 30 GP BMC 3Q],
74,aSD_REPORT,,[C&D].[D 30 GP BMC 4Q],
75,aSD_REPORT,,[C&D].[D 30 GP Contract BMC],
76,aSD_REPORT,,[F].[F IS 30/46 Total Signings],
77,aSD_REPORT,,[F].[F IS 30/46 LT10 Signings],
78,aSD_REPORT,,[F].[F Div 30 GT10 Signings],
79,aSD_REPORT,,[F].[F Div 46 GT10 Signings],
80,aSD_REPORT,,"COALESCE([E1].[COV_ID],[E2].[COV_ID])
",
81,aSD_REPORT,,[E1].[30 Total 6 mo XaaS],
82,aSD_REPORT,,[E1].[30 Total 12 mo XaaS],
83,aSD_REPORT,,[E2].[TOTAL_6_MO_XAAS],
84,aSD_REPORT,,[E2].[TOTAL_12_MO_XAAS],
85,aSD_REPORT,,"COALESCE([E1&E2].[COV_ID],[G].[COV_ID])
",
86,aSD_REPORT,,[E1&E2].[E1 30 Total 6 mo XaaS],
87,aSD_REPORT,,[E1&E2].[E1 30 Total 12 mo XaaS],
88,aSD_REPORT,,[E1&E2].[E2 TOTAL_6_MO_XAAS],
89,aSD_REPORT,,[E1&E2].[E2 TOTAL_12_MO_XAAS],
90,aSD_REPORT,,[G].[TOTAL REV Quota - Moonlight],
91,aSD_REPORT,,[G].[TOTAL GP Quota - Moonlight],
92,aSD_REPORT,,"COALESCE([C&D&F].[COV_ID],[E1&E2&G].[COV_ID])
",
93,aSD_REPORT,,"(case when [D&G 30 Revenue] is null then 0
else [D&G 30 Revenue]
end)+
(case when[C 46 Revenue] is null then 0
else [C 46 Revenue]
end)

",
94,aSD_REPORT,,"(case when [D 30 Revenue] is null then 0
else [D 30 Revenue]
end)+
(case when [G 30 Moonlight Rev] is null then 0
else [G 30 Moonlight Rev]
end)
",
95,aSD_REPORT,,[G TOTAL REV Quota - Moonlight],
96,aSD_REPORT,,[C&D&F].[D 30 Revenue],
97,aSD_REPORT,,[C&D&F].[D 30 Revenue 3Q],
98,aSD_REPORT,,[C&D&F].[D 30 Revenue 4Q],
99,aSD_REPORT,,[C_Validated Rev Target],
100,aSD_REPORT,,"(case when [D 30 GP Contract BCP] is null then 0
else [D 30 GP Contract BCP]
end)+
(case when [G 30 Moonlight GP BCP] is null then 0
else [G 30 Moonlight GP BCP]
end)
+
(case when [C 46 Validated GP Target] is null then 0
else [C 46 Validated GP Target]
end)
",
101,aSD_REPORT,,[C&D&F].[D 30 GP Contract BCP],
102,aSD_REPORT,,[C&D&F].[D 30 GP BCP 3Q],
103,aSD_REPORT,,[C&D&F].[D 30 GP BCP 4Q],
104,aSD_REPORT,,[G TOTAL GP Quota - Moonlight],
105,aSD_REPORT,,[C_Validated GP Target],
106,aSD_REPORT,,"(case when [D 30 GP Contract BMC] is null then 0
else [D 30 GP Contract BMC]
end)+
(case when [G 30 Moonlight GP BMC] is null then 0
else [G 30 Moonlight GP BMC]
end)


",
107,aSD_REPORT,,[C&D&F].[D 30 GP Contract BMC],
108,aSD_REPORT,,[C&D&F].[D 30 GP BMC 3Q],
109,aSD_REPORT,,[C&D&F].[D 30 GP BMC 4Q],
110,aSD_REPORT,,[E1&E2&G].[G TOTAL GP Quota - Moonlight],
111,aSD_REPORT,,[C&D&F].[F IS 30/46 Total Signings],
112,aSD_REPORT,,[C&D&F].[F IS 30/46 LT10 Signings],
113,aSD_REPORT,,[C&D&F].[F Div 30 GT10 Signings],
114,aSD_REPORT,,[C&D&F].[F Div 46 GT10 Signings],
115,aSD_REPORT,,"(case when [E1 30 Total 6 mo XaaS] is null then 0
else [E1 30 Total 6 mo XaaS]
end)+
(case when [E2 46 Total 6 mo XaaS] is null then 0
else [E2 46 Total 6 mo XaaS]
end)
+
(case when [G 30 Moonlight XaaS] is null then 0
else [G 30 Moonlight XaaS]
end)",
116,aSD_REPORT,,[E1&E2&G].[E1 30 Total 6 mo XaaS],
117,aSD_REPORT,,[E2 TOTAL_6_MO_XAAS],
118,aSD_REPORT,,[E1&E2&G].[G TOTAL REV Quota - Moonlight],
119,aSD_REPORT,,[C&D&F].[C_Validated Rev Target],
120,aSD_REPORT,,[C&D&F].[C_Validated GP Target],
121,aSD_REPORT,,[E1&E2&G].[E1 30 Total 12 mo XaaS],
122,aSD_REPORT,,[E1&E2&G].[E2 TOTAL_6_MO_XAAS],
123,aSD_REPORT,,[E1&E2&G].[E2 TOTAL_12_MO_XAAS],
124,aSD_REPORT,,[E1&E2&G].[G TOTAL REV Quota - Moonlight],
125,aSD_REPORT,,[E1&E2&G].[G TOTAL GP Quota - Moonlight],
126,aSD_REPORT,,"replace(substr([Business View].[QUOTA_KEYSTONE_T_MAIN].[MARKET_NAME],4),'/CSI','')
",
127,aSD_REPORT,,[Business View].[QUOTA_KEYSTONE_T_MAIN].[TERRITORY_TYPE],
128,aSD_REPORT,,[Business View].[QUOTA_KEYSTONE_T_MAIN].[COVERAGE_ID_NAME],
129,aSD_REPORT,,[Business View].[QUOTA_KEYSTONE_T_MAIN].[COV_ID],
130,aSD_REPORT,,"'unknown'
",
131,aSD_REPORT,,'unknown',
132,aSD_REPORT,,'unknown',
133,aSD_REPORT,,[Business View].[QUOTA_KEYSTONE_T_MAIN].[COV_ID],
134,aSD_REPORT,,"case when 
[KEYSTONE].[Market Name] is null then 'unknown'
else  [KEYSTONE].[Market Name]
end",
135,aSD_REPORT,,"case when  [KEYSTONE].[Customer Set] is null
then 'unknown'
else  [KEYSTONE].[Customer Set]
end",
136,aSD_REPORT,,"case when [KEYSTONE].[Coverage ID Name] is null
then 'unknown'
else [KEYSTONE].[Coverage ID Name]
end",
137,aSD_REPORT,,"COALESCE([C&D&E1&E2&F&G].[COV_ID],[KEYSTONE].[Cov Id])",
138,aSD_REPORT,,"case 
when [Cov ID1] in ('912_CFCNLEA','912_CFLOAC','912_CFCOMEA')
then 'C000000'
when [Cov ID1] in ('912_CFDSNLE','912_CFDISWE','912_CFLOAD')
then 'D000000'
when [Cov ID1] in ('912_CFBNKEA','912_CFFNMEA','912_CFFSSEA','912_CFLOAF','912_CFINSWE')
then 'F000000'
when [Cov ID1] in ('912_CFLOAI')
then 'I000000'
when [Cov ID1] in ('912_CFLOAP')
then 'P000000'
else  [Cov ID1]
end",
139,aSD_REPORT,,[C&D&E1&E2&F&G].[D&G&C 30 Revenue],
140,aSD_REPORT,,[C&D&E1&E2&F&G].[D&G 30 Revenue],
141,aSD_REPORT,,[C&D&E1&E2&F&G].[G 30 Moonlight Rev],
142,aSD_REPORT,,[C&D&E1&E2&F&G].[D 30 Revenue],
143,aSD_REPORT,,[C&D&E1&E2&F&G].[D 30 Revenue 3Q],
144,aSD_REPORT,,[C&D&E1&E2&F&G].[D 30 Revenue 4Q],
145,aSD_REPORT,,[C&D&E1&E2&F&G].[C 46 Revenue],
146,aSD_REPORT,,[C&D&E1&E2&F&G].[D&G&C BCP GP],
147,aSD_REPORT,,[C&D&E1&E2&F&G].[D 30 GP Contract BCP],
148,aSD_REPORT,,[C&D&E1&E2&F&G].[D 30 GP BCP 3Q],
149,aSD_REPORT,,[C&D&E1&E2&F&G].[D 30 GP BCP 4Q],
150,aSD_REPORT,,[C&D&E1&E2&F&G].[G 30 Moonlight GP BCP],
151,aSD_REPORT,,[C&D&E1&E2&F&G].[C 46 Validated GP Target],
152,aSD_REPORT,,[C&D&E1&E2&F&G].[D&G BMC GP],
153,aSD_REPORT,,[C&D&E1&E2&F&G].[D 30 GP Contract BMC],
154,aSD_REPORT,,[C&D&E1&E2&F&G].[D 30 GP BMC 3Q],
155,aSD_REPORT,,[C&D&E1&E2&F&G].[D 30 GP BMC 4Q],
156,aSD_REPORT,,[C&D&E1&E2&F&G].[G 30 Moonlight GP BMC],
157,aSD_REPORT,,[C&D&E1&E2&F&G].[F IS 30/46 Total Signings],
158,aSD_REPORT,,[C&D&E1&E2&F&G].[F IS 30/46 LT10 Signings],
159,aSD_REPORT,,[C&D&E1&E2&F&G].[F Div 30 GT10 Signings],
160,aSD_REPORT,,[C&D&E1&E2&F&G].[F Div 46 GT10 Signings],
161,aSD_REPORT,,[C&D&E1&E2&F&G].[E XaaS],
162,aSD_REPORT,,[C&D&E1&E2&F&G].[E1 30 Total 6 mo XaaS],
163,aSD_REPORT,,[C&D&E1&E2&F&G].[E2 46 Total 6 mo XaaS],
164,aSD_REPORT,,[C&D&E1&E2&F&G].[G 30 Moonlight XaaS],
165,aSD_REPORT,,"case
when [B].[AFFILIATE_NUMBER] = 'C000000' then 'Communication'
when [B].[AFFILIATE_NUMBER] = 'D000000' then 'Distribution'
when [B].[AFFILIATE_NUMBER] = 'F000000' then 'Financial Service'
when [B].[AFFILIATE_NUMBER] = 'I000000' then 'Industrial'
when [B].[AFFILIATE_NUMBER] = 'P000000' then 'Public'
else [Main0].[Market Name]
end",
166,aSD_REPORT,,"case
when [B].[AFFILIATE_NUMBER] IN ('C000000','D000000','F000000','I000000','P000000') then 'unknown'
else [Main0].[Customer Set]
end",
167,aSD_REPORT,,"case
when [B].[AFFILIATE_NUMBER] = 'C000000' then '_COMMUNICATIONS PLUG'
when [B].[AFFILIATE_NUMBER] = 'D000000' then '_DISTRIBUTION PLUG'
when [B].[AFFILIATE_NUMBER] = 'F000000' then '_FINANCIAL SERVICES PLUG'
when [B].[AFFILIATE_NUMBER] = 'I000000' then '_INDUSTRIAL PLUG'
when [B].[AFFILIATE_NUMBER] = 'P000000' then '_PUBLIC PLUG'
else [Main0].[Coverage ID Name]
end",
168,aSD_REPORT,,"case
when [B].[AFFILIATE_NUMBER] = 'C000000' then 'C000000'
when [B].[AFFILIATE_NUMBER] = 'D000000' then 'D000000'
when [B].[AFFILIATE_NUMBER] = 'F000000' then 'F000000'
when [B].[AFFILIATE_NUMBER] = 'I000000' then 'I000000'
when [B].[AFFILIATE_NUMBER] = 'P000000' then 'P000000'
else [Main0].[Cov ID1]
end",
169,aSD_REPORT,,[Main0].[D&G&C 30 Revenue],
170,aSD_REPORT,,[Main0].[D&G 30 Revenue],
171,aSD_REPORT,,[Main0].[G 30 Moonlight Rev],
172,aSD_REPORT,,[Main0].[D 30 Revenue],
173,aSD_REPORT,,[Main0].[D 30 Revenue 3Q],
174,aSD_REPORT,,[Main0].[D 30 Revenue 4Q],
175,aSD_REPORT,,[Main0].[C 46 Revenue],
176,aSD_REPORT,,[Main0].[D&G&C BCP GP],
177,aSD_REPORT,,[Main0].[D 30 GP Contract BCP],
178,aSD_REPORT,,[Main0].[D 30 GP BCP 3Q],
179,aSD_REPORT,,[Main0].[D 30 GP BCP 4Q],
180,aSD_REPORT,,[Main0].[G 30 Moonlight GP BCP],
181,aSD_REPORT,,[Main0].[C 46 Validated GP Target],
182,aSD_REPORT,,[Main0].[D&G BMC GP],
183,aSD_REPORT,,[Main0].[D 30 GP Contract BMC],
184,aSD_REPORT,,[Main0].[D 30 GP BMC 3Q],
185,aSD_REPORT,,[Main0].[D 30 GP BMC 4Q],
186,aSD_REPORT,,[Main0].[G 30 Moonlight GP BMC],
187,aSD_REPORT,,[Main0].[F IS 30/46 Total Signings],
188,aSD_REPORT,,[Main0].[F IS 30/46 LT10 Signings],
189,aSD_REPORT,,[Main0].[F Div 30 GT10 Signings],
190,aSD_REPORT,,[Main0].[F Div 46 GT10 Signings],
191,aSD_REPORT,,[Main0].[E XaaS],
192,aSD_REPORT,,[Main0].[E1 30 Total 6 mo XaaS],
193,aSD_REPORT,,[Main0].[E2 46 Total 6 mo XaaS],
194,aSD_REPORT,,[Main0].[G 30 Moonlight XaaS],
195,aSD_REPORT,,[Main].[Market Name],
196,aSD_REPORT,,[Main].[Customer Set],
197,aSD_REPORT,,[Main].[Coverage ID Name],
198,aSD_REPORT,,[Main].[Cov ID],
199,aSD_REPORT,,"case
when [Main].[D&G&C 30 Revenue] is null then 0 
else [Main].[D&G&C 30 Revenue]
end",
200,aSD_REPORT,,"case
when [Main].[D&G 30 Revenue] is null then 0 
else [Main].[D&G 30 Revenue]
end",
201,aSD_REPORT,,"case
when [Main].[G 30 Moonlight Rev] is null then 0 
else [Main].[G 30 Moonlight Rev]
end",
202,aSD_REPORT,,"case
when [Main].[D 30 Revenue] is null then 0
else [Main].[D 30 Revenue]
end",
203,aSD_REPORT,,"case
when [Main].[D 30 Revenue 3Q] is null then 0 
else [Main].[D 30 Revenue 3Q]
end",
204,aSD_REPORT,,"case
when [Main].[D 30 Revenue 4Q] is null then 0
else [Main].[D 30 Revenue 4Q]
end",
205,aSD_REPORT,,"case
when [Main].[C 46 Revenue] is null then 0
else [Main].[C 46 Revenue]
end",
206,aSD_REPORT,,"case
when [Main].[D&G&C BCP GP] is null then 0
else [Main].[D&G&C BCP GP]
end",
207,aSD_REPORT,,"case
when [Main].[D 30 GP Contract BCP] is null then 0
else [Main].[D 30 GP Contract BCP]
end",
208,aSD_REPORT,,"case
when [Main].[D 30 GP BCP 3Q] is null then 0
else [Main].[D 30 GP BCP 3Q]
end",
209,aSD_REPORT,,"case
when [Main].[D 30 GP BCP 4Q] is null then 0
else [Main].[D 30 GP BCP 4Q]
end",
210,aSD_REPORT,,"case
when [Main].[G 30 Moonlight GP BCP] is null then 0
else [Main].[G 30 Moonlight GP BCP]
end",
211,aSD_REPORT,,"case
when [Main].[C 46 Validated GP Target] is null then 0
else [Main].[C 46 Validated GP Target]
end",
212,aSD_REPORT,,"case
when [Main].[D&G BMC GP] is null then 0
else [Main].[D&G BMC GP]
end",
213,aSD_REPORT,,"case
when [Main].[D 30 GP Contract BMC] is null then 0
else [Main].[D 30 GP Contract BMC]
end",
214,aSD_REPORT,,"case
when [Main].[D 30 GP BMC 3Q] is null then 0
else [Main].[D 30 GP BMC 3Q]
end",
215,aSD_REPORT,,"case
when [Main].[D 30 GP BMC 4Q] is null then 0
else [Main].[D 30 GP BMC 4Q]
end",
216,aSD_REPORT,,"case
when [Main].[G 30 Moonlight GP BMC] is null then 0 
else [Main].[G 30 Moonlight GP BMC]
end",
217,aSD_REPORT,,"case
when [Main].[F IS 30/46 Total Signings] is null then 0
else [Main].[F IS 30/46 Total Signings]
end",
218,aSD_REPORT,,"case
when [Main].[F IS 30/46 LT10 Signings] is null then 0
else [Main].[F IS 30/46 LT10 Signings]
end",
219,aSD_REPORT,,"case
when [Main].[F Div 30 GT10 Signings] is null then 0
else [Main].[F Div 30 GT10 Signings]
end",
220,aSD_REPORT,,"case
when [Main].[F Div 46 GT10 Signings] is null then 0
else [Main].[F Div 46 GT10 Signings]
end",
221,aSD_REPORT,,"case
when [Main].[E XaaS] is null then 0
else [Main].[E XaaS]
end",
222,aSD_REPORT,,"case
when [Main].[E1 30 Total 6 mo XaaS] is null then 0
else [Main].[E1 30 Total 6 mo XaaS]
end",
223,aSD_REPORT,,"case
when [Main].[E2 46 Total 6 mo XaaS] is null then 0
else [Main].[E2 46 Total 6 mo XaaS]
end",
224,aSD_REPORT,,"case
when [Main].[G 30 Moonlight XaaS] is null then 0
else [Main].[G 30 Moonlight XaaS]
end",
225,aSD_REPORT,,[Main].[Market Name],
226,aSD_REPORT,,[Main].[Customer Set],
227,aSD_REPORT,,[Main].[Coverage ID Name],
228,aSD_REPORT,,[Main].[Cov ID],
229,aSD_REPORT,,[Main2].[Market Name],
230,aSD_REPORT,,[Main2].[Customer Set],
231,aSD_REPORT,/content/folder[@name='Quota Folder']/package[@name='S&D Package']/model[@name='2017-06-22T08:47:18.794Z'],,
232,aSD_REPORT,,,
233,aSD_REPORT,,,
234,aSD_REPORT,,,
235,aSD_REPORT,,,
236,aSD_REPORT,,,
237,aSD_REPORT,,,
238,aSD_REPORT,,,
239,aSD_REPORT,,,
240,aSD_REPORT,,,
241,aSD_REPORT,,,
242,aSD_REPORT,,,
243,aSD_REPORT,,,
244,aSD_REPORT,,,
245,aSD_REPORT,,,
246,aSD_REPORT,,,
247,aSD_REPORT,,,
248,aSD_REPORT,,,
249,aSD_REPORT,,,
250,aSD_REPORT,,,
251,aSD_REPORT,,,
252,aSD_REPORT,,,[AFFILIATE_NUMBER] = 'F000000'
253,aSD_REPORT,,,[Business View].[C_TABLE].[PERIOD]='2H'
254,aSD_REPORT,,,[Business View].[C_TABLE].[BRAND]='IS - ITS'
255,aSD_REPORT,,,[COV_ID] IS NOT NULL
256,aSD_REPORT,,,[C].[COV_ID] = [D].[COV_ID]
257,aSD_REPORT,,,[C&D].[COV_ID] = [F].[COV_ID]
258,aSD_REPORT,,,[E1].[COV_ID] = [E2].[COV_ID]
259,aSD_REPORT,,,[E1&E2].[COV_ID] = [G].[COV_ID]
260,aSD_REPORT,,,[C&D&F].[COV_ID] = [E1&E2&G].[COV_ID]
261,aSD_REPORT,,,[C&D&E1&E2&F&G].[COV_ID] = [KEYSTONE].[Cov Id]
262,aSD_REPORT,,,[Cov ID] in ?CovID?
263,aSD_REPORT,,,[Main0].[Cov ID1] = [B].[CONTRACTS]
264,aSD_REPORT,,,[Market Name] in ?Market?
265,aSD_REPORT,,,[Customer Set] in ?CustomerSet?
266,aSD_REPORT,,[Business View].[B_TABLE].[CONTRACTS],
267,aSD_REPORT,,[Business View].[B_TABLE].[AFFILIATE_NUMBER],
268,aSD_REPORT,,[Business View].[C_TABLE].[COVERAGE_ID],
269,aSD_REPORT,,[Business View].[C_TABLE].[Validated Rev Target],
270,aSD_REPORT,,[Business View].[C_TABLE].[Validated GP Target],
271,aSD_REPORT,,"case when [Business View].[D_TABLE].[COV_ID] is null
then [Business View].[D_TABLE].[CONTRACTS]
else [Business View].[D_TABLE].[COV_ID]
end",
272,aSD_REPORT,,[Business View].[D_TABLE].[30 Revenue Majors],
273,aSD_REPORT,,[Business View].[D_TABLE].[Q3 - Rev Majors],
274,aSD_REPORT,,[Business View].[D_TABLE].[Q4 - Rev Majors],
275,aSD_REPORT,,[Business View].[D_TABLE].[30 GP BCP],
276,aSD_REPORT,,[Business View].[D_TABLE].[Q3 - GP BCP],
277,aSD_REPORT,,[Business View].[D_TABLE].[Q4 - GP BCP],
278,aSD_REPORT,,[Business View].[D_TABLE].[30 GP BMC],
279,aSD_REPORT,,[Business View].[D_TABLE].[Q3 - GP BMC],
280,aSD_REPORT,,[Business View].[D_TABLE].[Q4 - GP BMC],
281,aSD_REPORT,,"case when 
[Business View].[E1_TABLE].[COV_ID] is null
then [Business View].[E1_TABLE].[CONTRACTS]
else [Business View].[E1_TABLE].[COV_ID]
end",
282,aSD_REPORT,,[Business View].[E1_TABLE].[30 Total 6 mo XaaS],
283,aSD_REPORT,,[Business View].[E1_TABLE].[30 Total 12 mo XaaS],
284,aSD_REPORT,,[Business View].[E2_TABLE].[COV_ID],
285,aSD_REPORT,,[Business View].[E2_TABLE].[TOTAL_6_MO_XAAS],
286,aSD_REPORT,,[Business View].[E2_TABLE].[TOTAL_12_MO_XAAS],
287,aSD_REPORT,,[Business View].[F_TABLE].[COVERAGE_ID],
288,aSD_REPORT,,"
[Business View].[F_TABLE].[IS_30_SLASH_46_LT10]",
289,aSD_REPORT,,[Business View].[F_TABLE].[DIV_46_GT10],
290,aSD_REPORT,,[Business View].[F_TABLE].[DIV_30_GT10],
291,aSD_REPORT,,[Business View].[F_TABLE].[IS_DIV_30_SLASH_46_TOTAL],
292,aSD_REPORT,,[Business View].[F_TABLE].[DIV_30_LT10],
293,aSD_REPORT,,[Business View].[G_TABLE].[Cov Id],
294,aSD_REPORT,,[Business View].[G_TABLE].[TOTAL REV Quota - Moonlight],
295,aSD_REPORT,,[Business View].[G_TABLE].[TOTAL GP Quota - Moonlight],
296,aSD_REPORT,,"COALESCE([C].[COV_ID],[D].[COV_ID])",
297,aSD_REPORT,,[C].[C_Validated Rev Target],
298,aSD_REPORT,,[C].[C_Validated GP Target],
299,aSD_REPORT,,[D].[D 30 Revenue 3Q],
300,aSD_REPORT,,[D].[D 30 Revenue 4Q],
301,aSD_REPORT,,[D].[D 30 Revenue],
302,aSD_REPORT,,[D].[D 30 GP BCP 3Q],
303,aSD_REPORT,,[D].[D 30 GP BCP 4Q],
304,aSD_REPORT,,[D].[D 30 GP Contract BCP],
305,aSD_REPORT,,[D].[D 30 GP BMC 3Q],
306,aSD_REPORT,,[D].[D 30 GP BMC 4Q],
307,aSD_REPORT,,[D].[D 30 GP Contract BMC],
308,aSD_REPORT,,"COALESCE([C&D].[COV_ID],[F].[COV_ID])
",
309,aSD_REPORT,,[C&D].[C_Validated Rev Target],
310,aSD_REPORT,,[C&D].[C_Validated GP Target],
311,aSD_REPORT,,[C&D].[D 30 Revenue 3Q],
312,aSD_REPORT,,[C&D].[D 30 Revenue 4Q],
313,aSD_REPORT,,[C&D].[D 30 Revenue],
314,aSD_REPORT,,[C&D].[D 30 GP BCP 3Q],
315,aSD_REPORT,,[C&D].[D 30 GP BCP 4Q],
316,aSD_REPORT,,[C&D].[D 30 GP Contract BCP],
317,aSD_REPORT,,[C&D].[D 30 GP BMC 3Q],
318,aSD_REPORT,,[C&D].[D 30 GP BMC 4Q],
319,aSD_REPORT,,[C&D].[D 30 GP Contract BMC],
320,aSD_REPORT,,[F].[F IS 30/46 Total Signings],
321,aSD_REPORT,,[F].[F IS 30/46 LT10 Signings],
322,aSD_REPORT,,[F].[F Div 30 GT10 Signings],
323,aSD_REPORT,,[F].[F Div 46 GT10 Signings],
324,aSD_REPORT,,"COALESCE([E1].[COV_ID],[E2].[COV_ID])
",
325,aSD_REPORT,,[E1].[30 Total 6 mo XaaS],
326,aSD_REPORT,,[E1].[30 Total 12 mo XaaS],
327,aSD_REPORT,,[E2].[TOTAL_6_MO_XAAS],
328,aSD_REPORT,,[E2].[TOTAL_12_MO_XAAS],
329,aSD_REPORT,,"COALESCE([E1&E2].[COV_ID],[G].[COV_ID])
",
330,aSD_REPORT,,[E1&E2].[E1 30 Total 6 mo XaaS],
